area,coor_453_457,coor_393_397,coor_333_337,coor_533_537,coor_553_557,coor_593_597,coor_473_477,coor_613_617,coor_313_317,coor_693_697,coor_713_717,coor_353_357,coor_573_577,coor_413_417,coor_433_437,coor_273_277,coor_633_637,coor_493_497,coor_653_657,coor_373_377,coor_293_297,coor_673_677,coor_253_257,coor_733_737,coor_513_517
Posterior auditory area,2,4,3,0,0,0,0,0,4,0,0,6,0,3,2,2,0,0,0,3,1,0,5,0,0
Posterior auditory area layer 1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Posterior auditory area layer 2/3,1,1,2,0,0,0,0,0,2,0,0,5,0,1,0,2,0,0,0,1,1,0,2,0,0
Posterior auditory area layer 4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Posterior auditory area layer 5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0
Posterior auditory area layer 6a,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0
Posterior auditory area layer 6b,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ventral auditory area,15,8,0,21,28,54,18,0,0,0,0,1,47,9,10,0,0,24,0,1,0,0,0,0,26
Ventral auditory area layer 1,3,2,0,0,2,1,4,0,0,0,0,0,3,3,2,0,0,5,0,0,0,0,0,0,4
Ventral auditory area layer 2/3,8,6,0,5,10,23,9,0,0,0,0,1,20,5,8,0,0,14,0,1,0,0,0,0,5
Ventral auditory area layer 4,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0
Ventral auditory area layer 5,1,0,0,11,8,18,2,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,7
Ventral auditory area layer 6a,3,0,0,5,4,11,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8
Ventral auditory area layer 6b,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Temporal association areas,15,9,7,49,48,49,20,87,4,50,0,10,54,10,12,4,88,27,120,4,4,102,3,0,35
Temporal association areas layer 1,0,0,1,5,5,0,2,1,0,2,0,0,0,0,0,0,1,1,0,0,1,1,3,0,3
Temporal association areas layer 2/3,2,5,3,11,12,11,6,19,1,18,0,6,9,5,5,3,32,3,34,2,3,35,0,0,6
Temporal association areas layer 4,1,0,0,2,3,2,1,3,0,4,0,0,2,0,0,1,7,0,0,0,0,7,0,0,1
Temporal association areas layer 5,3,1,0,24,11,10,3,21,0,16,0,1,17,1,4,0,20,9,36,1,0,25,0,0,15
Temporal association areas layer 6a,9,2,2,5,16,25,7,39,3,10,0,2,25,3,3,0,26,13,44,0,0,34,0,0,10
Temporal association areas layer 6b,0,1,1,2,1,1,1,4,0,0,0,1,1,1,0,0,2,1,6,1,0,1,0,0,0
